"review_group","review_words","word_count","count_normalise","game"
"Positive reviews","kings",2606,0.00429732332493437,"Crusader Kings III"
"Positive reviews","crusader",2574,0.00424455496484308,"Crusader Kings III"
"Positive reviews","best",2452,0.00404337559199504,"Crusader Kings III"
"Positive reviews","love",2266,0.00373665949896442,"Crusader Kings III"
"Positive reviews","now",2236,0.00368718916137884,"Crusader Kings III"
"Positive reviews","playing",2236,0.00368718916137884,"Crusader Kings III"
"Positive reviews","lot",2235,0.00368554015012598,"Crusader Kings III"
"Positive reviews","even",2230,0.00367729509386172,"Crusader Kings III"
"Positive reviews","still",2187,0.00360638760998905,"Crusader Kings III"
"Positive reviews","dlc",2158,0.00355856628365632,"Crusader Kings III"
"Positive reviews","played",2150,0.0035453741936335,"Crusader Kings III"
"Positive reviews","also",1866,0.0030770549978233,"Crusader Kings III"
"Positive reviews","make",1817,0.00299625344643352,"Crusader Kings III"
"Positive reviews","many",1759,0.00290061079376806,"Crusader Kings III"
"Positive reviews","first",1751,0.00288741870374523,"Crusader Kings III"
"Positive reviews","way",1751,0.00288741870374523,"Crusader Kings III"
"Positive reviews","well",1716,0.00282970330989539,"Crusader Kings III"
"Positive reviews","recommend",1658,0.00273406065722992,"Crusader Kings III"
"Positive reviews","amazing",1512,0.00249330501431342,"Crusader Kings III"
"Positive reviews","things",1493,0.00246197380050921,"Crusader Kings III"
"Positive reviews","far",1445,0.00238282126037228,"Crusader Kings III"
"Positive reviews","character",1433,0.00236303312533805,"Crusader Kings III"
"Positive reviews","war",1429,0.00235643708032664,"Crusader Kings III"
"Positive reviews","king",1405,0.00231686081025817,"Crusader Kings III"
"Positive reviews","2",1373,0.00226409245016688,"Crusader Kings III"
"Positive reviews","years",1331,0.00219483397754706,"Crusader Kings III"
"Positive reviews","ever",1297,0.00213876759495007,"Crusader Kings III"
"Positive reviews","every",1284,0.00211733044866298,"Crusader Kings III"
"Positive reviews","grand",1279,0.00210908539239872,"Crusader Kings III"
"Positive reviews","mechanics",1267,0.00208929725736448,"Crusader Kings III"
"Positive reviews","want",1264,0.00208435022360593,"Crusader Kings III"
"Positive reviews","see",1252,0.00206456208857169,"Crusader Kings III"
"Positive reviews","content",1217,0.00200684669472184,"Crusader Kings III"
"Positive reviews","son",1197,0.00197386646966479,"Crusader Kings III"
"Positive reviews","start",1192,0.00196562141340053,"Crusader Kings III"
"Positive reviews","got",1170,0.00192934316583776,"Crusader Kings III"
"Positive reviews","feel",1158,0.00190955503080353,"Crusader Kings III"
"Positive reviews","pretty",1156,0.00190625700829782,"Crusader Kings III"
"Positive reviews","3",1148,0.001893064918275,"Crusader Kings III"
"Positive reviews","wife",1145,0.00188811788451644,"Crusader Kings III"
"Positive reviews","made",1143,0.00188481986201074,"Crusader Kings III"
"Positive reviews","ui",1124,0.00185348864820654,"Crusader Kings III"
"Positive reviews","say",1116,0.00184029655818371,"Crusader Kings III"
"Positive reviews","think",1100,0.00181391237813807,"Crusader Kings III"
"Positive reviews","worth",1095,0.0018056673218738,"Crusader Kings III"
"Positive reviews","empire",1071,0.00176609105180534,"Crusader Kings III"
"Positive reviews","dynasty",1069,0.00176279302929963,"Crusader Kings III"
"Positive reviews","bit",1068,0.00176114401804678,"Crusader Kings III"
"Positive reviews","go",1050,0.00173146181549543,"Crusader Kings III"
"Positive reviews","never",1049,0.00172981280424258,"Crusader Kings III"
"Positive reviews","family",1040,0.0017149717029669,"Crusader Kings III"
"Positive reviews","everything",1023,0.0016869385116684,"Crusader Kings III"
"Positive reviews","features",1008,0.00166220334287561,"Crusader Kings III"
"Positive reviews","know",1004,0.0016556072978642,"Crusader Kings III"
"Positive reviews","ruler",992,0.00163581916282997,"Crusader Kings III"
"Positive reviews","learning",981,0.00161768003904859,"Crusader Kings III"
"Positive reviews","ck",978,0.00161273300529003,"Crusader Kings III"
"Positive reviews","going",975,0.00160778597153147,"Crusader Kings III"
"Positive reviews","tutorial",972,0.00160283893777291,"Crusader Kings III"
"Positive reviews","yes",971,0.00160118992652006,"Crusader Kings III"
"Positive reviews","kingdom",970,0.00159954091526721,"Crusader Kings III"
"Positive reviews","people",957,0.00157810376898012,"Crusader Kings III"
"Positive reviews","learn",954,0.00157315673522156,"Crusader Kings III"
"Positive reviews","u",945,0.00155831563394589,"Crusader Kings III"
"Positive reviews","need",944,0.00155666662269303,"Crusader Kings III"
"Positive reviews","long",937,0.00154512354392306,"Crusader Kings III"
"Positive reviews","take",937,0.00154512354392306,"Crusader Kings III"
"Positive reviews","easy",930,0.00153358046515309,"Crusader Kings III"
"Positive reviews","though",921,0.00151873936387742,"Crusader Kings III"
"Positive reviews","gameplay",916,0.00151049430761316,"Crusader Kings III"
"Positive reviews","already",915,0.0015088452963603,"Crusader Kings III"
"Positive reviews","nice",912,0.00150389826260174,"Crusader Kings III"
"Positive reviews","wait",902,0.00148740815007322,"Crusader Kings III"
"Positive reviews","experience",900,0.00148411012756751,"Crusader Kings III"
"Positive reviews","buy",899,0.00148246111631466,"Crusader Kings III"
"Positive reviews","different",890,0.00146762001503898,"Crusader Kings III"
"Positive reviews","heir",885,0.00145937495877472,"Crusader Kings III"
"Positive reviews","system",882,0.00145442792501616,"Crusader Kings III"
"Negative reviews","court",872,0.0200330821540158,"Crusader Kings III: Royal Court"
"Negative reviews","dlc",867,0.0199182135636831,"Crusader Kings III: Royal Court"
"Negative reviews","game",795,0.0182641058628929,"Crusader Kings III: Royal Court"
"Negative reviews","price",468,0.0107517000551369,"Crusader Kings III: Royal Court"
"Negative reviews","just",455,0.010453041720272,"Crusader Kings III: Royal Court"
"Negative reviews","like",436,0.0100165410770079,"Crusader Kings III: Royal Court"
"Negative reviews","30",383,0.00879893401948171,"Crusader Kings III: Royal Court"
"Negative reviews","content",377,0.00866109171108252,"Crusader Kings III: Royal Court"
"Negative reviews","worth",352,0.00808674875941922,"Crusader Kings III: Royal Court"
"Negative reviews","get",350,0.00804080132328616,"Crusader Kings III: Royal Court"
"Negative reviews","royal",339,0.00778809042455431,"Crusader Kings III: Royal Court"
"Negative reviews","paradox",314,0.00721374747289101,"Crusader Kings III: Royal Court"
"Negative reviews","even",275,0.00631777246829627,"Crusader Kings III: Royal Court"
"Negative reviews","can",269,0.00617993015989708,"Crusader Kings III: Royal Court"
"Negative reviews","new",264,0.00606506156956442,"Crusader Kings III: Royal Court"
"Negative reviews","really",261,0.00599614041536482,"Crusader Kings III: Royal Court"
"Negative reviews","much",260,0.00597316669729829,"Crusader Kings III: Royal Court"
"Negative reviews","culture",245,0.00562856092630031,"Crusader Kings III: Royal Court"
"Negative reviews","good",218,0.00500827053850395,"Crusader Kings III: Royal Court"
